Unnamed: 0,Hindi,English
0,है,Is
1,के,Of
2,मैं,I
3,नहीं,No
4,हैं,Are
5,में,In
6,एक,One
7,आप,You
8,लिए,For
9,और,And
10,यह,it
11,से,From
12,की,of
13,क्या,What
14,कि,That
15,तुम,You
16,हो,yes
17,कर,Tax
18,मुझे,Me
19,को,To
20,हम,We
21,था,Was
22,वह,He
23,पर,But
24,हूँ,am
25,रहे,are
26,भी,Too
27,रहा,Stayed
28,का,Of
29,अपने,Our
30,कुछ,Some?
31,तो,So
32,गया,Went
33,इस,This
34,मेरे,My
35,ठीक,Correct
36,करने,to do
37,किया,Did
38,साथ,with
39,उसे,Him
40,हाँ,Yes
41,वे,They
42,सकते,Can
43,लेकिन,But
44,यहाँ,Here
45,तुम्हें,to you
46,कोई,Any
47,तरह,Kind
48,अब,Now
49,पता,Address
50,होगा,will be
51,बहुत,Very
52,बात,talk
53,सकता,Can
54,जाओ,Go
55,दिया,Gave
56,करना,to do
57,जा,Go
58,मेरी,My
60,बारे,about
61,लगता,feels like
62,कहा,Said
63,जो,Who
64,वहाँ,There
65,जब,When
66,अच्छा,Good
67,चाहिए,Needed
68,बाहर,Outside
69,करो,do it
70,क्यों,Why
71,अपनी,Own
72,थे,Were
73,चलो,Let us go
74,दो,Two
75,ले,Take
76,किसी,Any 
77,फिर,Then
78,काम,Work
79,अगर,If
80,ये,These
81,कैसे,How
82,करते,Do
83,पहले,First
84,बस,Bus
85,चाहते,Want
86,जाएगा,will go
87,आदमी,Man
88,कभी,Sometimes
89,समय,Time
90,वापस,Back
91,हमें,Us
92,रही,doing
93,आ,Come
94,तक,till
95,हमारे,Our
96,मेरा,My
97,रूप,Form
98,मैंने,I
99,करता,does
100,या,Or
101,अभी,Now!
102,मिल,mill
103,चाहता,wants
104,घर,Home
105,उसके,His
106,सभी,All
107,उस,That
108,मत,Don't
109,आपको,To you
110,जाना,Go
111,अरे,Oho
112,सिर्फ,Only
113,बंद,Close
114,ओह,Oh
115,उन्हें,Them
116,सही,Correct
117,हूं,Am
118,थी,Was
119,देखो,See
120,ने,has
121,तुम्हारे,Your
122,प्यार,Love
123,वो,They
124,जरूरत,Need
125,लोगों,people
126,हुआ,Happened
127,करें,do
128,ऐसा,As such
129,उन्होंने,They
130,दिन,Day
131,न,No
132,बाद,after
133,कौन,Who
134,हर,every
135,पास,Near
136,दे,Give
137,नीचे,Below
138,देखा,saw
139,जाता,go
140,बार,Times
141,कृपया,Please
142,धन्यवाद,Thank you
143,पिता,Father
144,करेंगे,do
145,भगवान,God
146,क्योंकि,Because
147,लोग,People
148,वाला,the one
149,जानते,Know
150,देख,See
151,आज,Today
152,मतलब,Meaning
153,कहाँ,Where?
154,जीवन,Life
155,आओ,Come
156,जाने,go
157,अधिक,More
158,यही,This only
159,होता,Would
160,सर,Sir
161,मदद,Help
162,रात,Night
163,माँ,Mother
164,लिया,took
165,केवल,Only
166,तुमने,you have
167,सबसे,To all
168,मार,Kill
169,हुए,happened
170,हमेशा,Always
171,याद,Memory
172,कारण,Reason
173,गए,Went
174,आया,Came
175,जानता,knows
176,शायद,Perhaps
177,साल,Year
178,दूर,away
179,हे,hey
180,होने,to be
181,फोन,Phone
182,भाई,Brother
183,वास्तव,really
184,शुरू,Start
185,उसकी,His
186,मिला,found
187,जगह,Place
188,कोशिश,Effort
189,कम,Less
190,लग,Lag
191,शादी,Marriage
192,पसंद,Like
193,चला,walked
194,इन,in
195,अच्छी,Good
196,तुम्हारी,yours
197,यहां,Here
198,दोस्त,Friend
199,मर,Die
200,कहते,say
201,होना,Happen
202,दुनिया,World
203,तुम्हारा,yours
204,एम,M
205,कह,Say
206,इसके,Its
207,रुको,wait
208,तैयार,Ready
209,बच्चे,Children
210,उन,Wool
211,लो,Take
212,उनके,Their
213,जैसे,As
214,इतना,This much
215,जल्दी,Quick
216,अंदर,Inside
217,श्री,Mister
218,यदि,If
220,कल,Tomorrow
221,ऊपर,Above
222,देंगे,will give
223,आपके,Your
224,हमारी,Our
225,बताओ,Tell
226,खुद,Self
227,गई,Went
228,अपना,own
229,खैर,well
230,उसने,He
231,वाले,ones
232,चलते,Go
233,रहो,Stay
234,दी,Gave
235,मिलता,get
236,बेहतर,better
237,बकवास,Nonsense
238,पीछे,Back
239,द्वारा,By
240,मुझसे,Me
241,हाथ,Hand
242,विश्वास,faith
243,पूरी,Complete
244,ना,No
245,महिला,Woman
246,लड़की,Girl
247,आपका,Yours
248,देखने,to see
249,तुमसे,To you
250,लगा,Put
251,उसका,His
252,चल,Ambulatory
253,ओर,Side
254,मिनट,minutes
255,समझ,Understanding
256,बिना,Without
257,बता,tell me
